database,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
ACM-DL,article,3190551,Yuan  Yu and Mart&#237;n  Abadi and Paul  Barham and Eugene  Brevdo and Mike  Burrows and Andy  Davis and Jeff  Dean and Sanjay  Ghemawat and Tim  Harley and Peter  Hawkins and Michael  Isard and Manjunath  Kudlur and Rajat  Monga and Derek  Murray and Xiaoqiang  Zheng,,,,Dynamic Control Flow in Large-scale Machine Learning,18:1--18:15,18,15,,10.1145/3190508.3190551,,,,,,,2018,,Proceedings of the Thirteenth EuroSys Conference,EuroSys '18,,978-1-4503-5584-1,"Porto, Portugal",ACM,"New York, NY, USA"
ACM-DL,article,2817065,David L. Gonz&#225;lez-&#193;lvarez and Miguel A. Vega-Rodr&#237;guez and &#193;lvaro  Rubio-Largo,,,,Finding Patterns in Protein Sequences by Using a Hybrid Multiobjective Teaching Learning Based Optimization Algorithm,656--666,,11,"PROSITE, hybrid algorithm, multiobjective optimization, proteins, teaching learning based optimization",10.1109/TCBB.2014.2369043,IEEE/ACM Trans. Comput. Biol. Bioinformatics,May/June 2015,12,3,,May,2015,1545-5963,,,,,,IEEE Computer Society Press,"Los Alamitos, CA, USA"
ACM-DL,article,584055,Yufei  Guo and M. Cristina Pinotti and Sajal K. Das,,,,A New Hybrid Broadcast Scheduling Algorithm for Asymmetric Communication Systems,39--54,,16,,10.1145/584051.584055,SIGMOBILE Mob. Comput. Commun. Rev.,July 2001,5,3,,July,2001,1559-1662,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,2591814,Sungjin  Im and Janardhan  Kulkarni and Kamesh  Munagala,,,,Competitive Algorithms from Competitive Equilibria: Non-clairvoyant Scheduling Under Polyhedral Constraints,313--322,,10,"equilibria, flow time, non-clairvoyance, online scheduling, polyhedral constraints, proportional fairness, unrelated machines",10.1145/2591796.2591814,,,,,,,2014,,Proceedings of the Forty-sixth Annual ACM Symposium on Theory of Computing,STOC '14,,978-1-4503-2710-7,"New York, New York",ACM,"New York, NY, USA"
ACM-DL,article,76858,F. H. Grant and R. G. Lagoni,,,,The User's Role in a Simulation Based Scheduling System,936--941,,6,,10.1145/76738.76858,,,,,,,1989,,Proceedings of the 21st Conference on Winter Simulation,WSC '89,,0-911801-58-8,"Washington, D.C., USA",ACM,"New York, NY, USA"
ACM-DL,article,216658,Filip  Thoen and Marco  Cornero and Gert  Goossens and Hugo  De Man,,,,Software Synthesis for Real-time Information Processing Systems,60--69,,10,,10.1145/216633.216658,SIGPLAN Not.,Nov. 1995,30,11,,November,1995,0362-1340,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,216658,Filip  Thoen and Marco  Cornero and Gert  Goossens and Hugo  De Man,,,,Software Synthesis for Real-time Information Processing Systems,60--69,,10,,10.1145/216636.216658,,,,,,,1995,,"Proceedings of the ACM SIGPLAN 1995 Workshop on Languages, Compilers, &Amp; Tools for Real-time Systems",LCTES '95,,,"La Jolla, California, USA",ACM,"New York, NY, USA"
ACM-DL,article,1188554,Raymond R. Hoare and Zhu  Ding and Alex K. Jones,,,,A Near-optimal Real-time Hardware Scheduler for Large Cardinality Crossbar Switches,,94,,,10.1145/1188455.1188554,,,,,,,2006,,Proceedings of the 2006 ACM/IEEE Conference on Supercomputing,SC '06,,0-7695-2700-0,"Tampa, Florida",ACM,"New York, NY, USA"
ACM-DL,article,811193,John M. Gleason,,,,A Simulation Model for Evaluating Bus Routes and Schedules in Small Cities,329--336,,8,,10.1145/800287.811193,,,,,,,1974,,Proceedings of the 7th Conference on Winter Simulation - Volume 1,WSC '74,,,"Washington, DC",ACM,"New York, NY, USA"
ACM-DL,article,315991,Bruce S. N. Cheung,,,,Ambiguity in Context-free Grammars,272--276,,5,,10.1145/315891.315991,,,,,,,1995,,Proceedings of the 1995 ACM Symposium on Applied Computing,SAC '95,,0-89791-658-1,"Nashville, Tennessee, USA",ACM,"New York, NY, USA"
